"country","genre","total_titles","genre_present","coverage_pct","diversity_rank"
Australia,Faith & Spirituality,1,1,57.14,4
Australia,Horror Movies,2,1,57.14,4
Australia,Independent Movies,0,0,57.14,4
Australia,International Movies,8,1,57.14,4
Australia,International TV Shows,17,1,57.14,4
Australia,Kids' TV,14,1,57.14,4
Australia,Korean TV Shows,0,0,57.14,4
Australia,LGBTQ Movies,0,0,57.14,4
Australia,Movies,3,1,57.14,4
Australia,Music & Musicals,0,0,57.14,4
Australia,Reality TV,4,1,57.14,4
Australia,Romantic Movies,3,1,57.14,4
Australia,Romantic TV Shows,1,1,57.14,4
Australia,Sci-Fi & Fantasy,2,1,57.14,4
Australia,Science & Nature TV,0,0,57.14,4
Australia,Spanish-Language TV Shows,0,0,57.14,4
Australia,Sports Movies,1,1,57.14,4
Australia,Stand-Up Comedy,3,1,57.14,4
Australia,Stand-Up Comedy & Talk Shows,0,0,57.14,4
Australia,Teen TV Shows,0,0,57.14,4
Australia,Thrillers,3,1,57.14,4
Australia,TV Action & Adventure,0,0,57.14,4
Australia,TV Comedies,4,1,57.14,4
Australia,TV Dramas,2,1,57.14,4
Australia,TV Horror,0,0,57.14,4
Australia,TV Mysteries,0,0,57.14,4
Australia,TV Sci-Fi & Fantasy,0,0,57.14,4
Australia,TV Shows,0,0,57.14,4
Australia,TV Thrillers,0,0,57.14,4
Spain,Action & Adventure,6,1,54.76,5
Spain,Anime Features,0,0,54.76,5
Spain,Anime Series,1,1,54.76,5
Spain,British TV Shows,1,1,54.76,5
Spain,Children & Family Movies,5,1,54.76,5
Spain,Classic & Cult TV,0,0,54.76,5
Spain,Classic Movies,0,0,54.76,5
Spain,Comedies,36,1,54.76,5
Spain,Crime TV Shows,22,1,54.76,5
Spain,Cult Movies,0,0,54.76,5
Spain,Documentaries,18,1,54.76,5
Spain,Docuseries,1,1,54.76,5
Spain,Dramas,45,1,54.76,5
Spain,Faith & Spirituality,0,0,54.76,5
Spain,Horror Movies,6,1,54.76,5
Spain,Independent Movies,4,1,54.76,5
Spain,International Movies,26,1,54.76,5
Spain,International TV Shows,26,1,54.76,5
Spain,Kids' TV,4,1,54.76,5
Spain,Korean TV Shows,0,0,54.76,5
Spain,LGBTQ Movies,1,1,54.76,5
Spain,Movies,1,1,54.76,5
Spain,Music & Musicals,0,0,54.76,5
Spain,Reality TV,0,0,54.76,5
Spain,Romantic Movies,0,0,54.76,5
Spain,Romantic TV Shows,0,0,54.76,5
Spain,Sci-Fi & Fantasy,3,1,54.76,5
Spain,Science & Nature TV,1,1,54.76,5
Spain,Spanish-Language TV Shows,2,1,54.76,5
Spain,Sports Movies,1,1,54.76,5
Spain,Stand-Up Comedy,1,1,54.76,5
Spain,Stand-Up Comedy & Talk Shows,0,0,54.76,5
Spain,Teen TV Shows,0,0,54.76,5
Spain,Thrillers,4,1,54.76,5
Spain,TV Action & Adventure,0,0,54.76,5
Spain,TV Comedies,0,0,54.76,5
Spain,TV Dramas,1,1,54.76,5
Spain,TV Horror,0,0,54.76,5
Spain,TV Mysteries,0,0,54.76,5
Spain,TV Sci-Fi & Fantasy,0,0,54.76,5
Spain,TV Shows,0,0,54.76,5
Spain,TV Thrillers,0,0,54.76,5
Germany,Action & Adventure,9,1,52.38,6
Germany,Anime Features,0,0,52.38,6
Germany,Anime Series,0,0,52.38,6
Germany,British TV Shows,1,1,52.38,6
Germany,Children & Family Movies,12,1,52.38,6
Germany,Classic & Cult TV,0,0,52.38,6
Germany,Classic Movies,0,0,52.38,6
Germany,Comedies,21,1,52.38,6
Germany,Crime TV Shows,7,1,52.38,6
Germany,Cult Movies,1,1,52.38,6
Germany,Documentaries,11,1,52.38,6
Germany,Docuseries,3,1,52.38,6
Germany,Dramas,27,1,52.38,6
Germany,Faith & Spirituality,0,0,52.38,6
Germany,Horror Movies,1,1,52.38,6
Germany,Independent Movies,10,1,52.38,6
Germany,International Movies,14,1,52.38,6
Germany,International TV Shows,21,1,52.38,6
Germany,Kids' TV,4,1,52.38,6
Germany,Korean TV Shows,0,0,52.38,6
Germany,LGBTQ Movies,0,0,52.38,6
Germany,Movies,0,0,52.38,6
Germany,Music & Musicals,1,1,52.38,6
Germany,Reality TV,0,0,52.38,6
Germany,Romantic Movies,4,1,52.38,6
Germany,Romantic TV Shows,0,0,52.38,6
Germany,Sci-Fi & Fantasy,6,1,52.38,6
Germany,Science & Nature TV,0,0,52.38,6
Germany,Spanish-Language TV Shows,0,0,52.38,6
Germany,Sports Movies,3,1,52.38,6
Germany,Stand-Up Comedy,5,1,52.38,6
Germany,Stand-Up Comedy & Talk Shows,0,0,52.38,6
Germany,Teen TV Shows,0,0,52.38,6
Germany,Thrillers,10,1,52.38,6
Germany,TV Action & Adventure,0,0,52.38,6
Germany,TV Comedies,1,1,52.38,6
Germany,TV Dramas,1,1,52.38,6
Germany,TV Horror,0,0,52.38,6
Germany,TV Mysteries,0,0,52.38,6
Germany,TV Sci-Fi & Fantasy,0,0,52.38,6
Germany,TV Shows,0,0,52.38,6
Germany,TV Thrillers,0,0,52.38,6
India,Action & Adventure,130,1,52.38,6
